fn,bgcnbd_mae,bgcnbd_bias,pggg_mae,pggg_bias,T.cal,T.star,t,gamma,r,alpha,s,beta,N,compute_time,idx
simulation-1.rdata,0.711738160724018,-0.0879930012113333,0.623608333333333,-0.020225,52,52,1.6,0.4,0.25,5,0.25,5,1000,3155,1
simulation-2.rdata,0.654079881917337,0.0563382549330945,0.632466666666667,0.0404166666666667,52,52,5,2.5,0.25,5,0.25,5,1000,3383,2
simulation-3.rdata,0.73493674912715,-0.0775377376287503,0.675116666666667,-0.1113,52,52,6,4,0.25,5,0.25,5,1000,3167,3
simulation-4.rdata,0.859679370356554,-0.101425795708363,0.837675,-0.048725,52,52,8,8,0.25,5,0.25,5,1000,2996,4
simulation-5.rdata,0.801059546655253,-0.0393837563569982,0.792108333333333,-0.0518416666666667,52,52,17,20,0.25,5,0.25,5,1000,3296,5
simulation-6.rdata,1.48925320820617,0.208132682462835,1.4118,0.0232666666666667,52,52,1.6,0.4,0.75,5,0.25,5,1000,3046,6
simulation-7.rdata,1.5822838623858,-0.112509904584916,1.48841666666667,-0.0670333333333333,52,52,5,2.5,0.75,5,0.25,5,1000,2821,7
simulation-8.rdata,1.69542781394041,0.292770086190846,1.58781666666667,0.0414,52,52,6,4,0.75,5,0.25,5,1000,3140,8
simulation-9.rdata,2.16141263498812,0.0588699135191706,2.16013333333333,0.0310333333333333,52,52,8,8,0.75,5,0.25,5,1000,2290,9
simulation-10.rdata,2.19165537692082,-0.0257567981149505,2.17545833333333,-0.0278083333333333,52,52,17,20,0.75,5,0.25,5,1000,2327,10
simulation-11.rdata,0.329649963376528,0.0136181526484009,0.281158333333333,0.0219583333333333,52,52,1.6,0.4,0.25,15,0.25,5,1000,2348,11
simulation-12.rdata,0.348198106239456,-0.030878328597748,0.324208333333333,-0.0225416666666667,52,52,5,2.5,0.25,15,0.25,5,1000,2601,12
simulation-13.rdata,0.38371182099748,-0.0346034182733317,0.358441666666667,-0.064325,52,52,6,4,0.25,15,0.25,5,1000,2586,13
simulation-14.rdata,0.42332750712456,-0.0324276153533571,0.425283333333333,0.000166666666666663,52,52,8,8,0.25,15,0.25,5,1000,2595,14
simulation-15.rdata,0.395936583012543,-0.021952214643124,0.408216666666667,0.0439333333333333,52,52,17,20,0.25,15,0.25,5,1000,2662,15
simulation-16.rdata,0.857430562194988,0.12010016371126,0.747433333333333,-0.02355,52,52,1.6,0.4,0.75,15,0.25,5,1000,2318,16
simulation-17.rdata,0.848605765025349,-0.00867076441238023,0.814758333333333,-0.061575,52,52,5,2.5,0.75,15,0.25,5,1000,4705,17
simulation-18.rdata,0.928221184376863,0.0215994917148392,0.850425,-0.0656416666666667,52,52,6,4,0.75,15,0.25,5,1000,4881,18
simulation-19.rdata,1.02576978157845,-0.00817012238333425,1.003775,0.008525,52,52,8,8,0.75,15,0.25,5,1000,4654,19
simulation-20.rdata,1.07099672497522,0.0317620266142486,1.05666666666667,0.0649166666666667,52,52,17,20,0.75,15,0.25,5,1000,4843,20
simulation-21.rdata,0.218472877374537,-0.021461055905611,0.167008333333333,-0.0670916666666667,52,52,1.6,0.4,0.25,5,0.75,5,1000,6503,21
simulation-22.rdata,0.199203247728678,0.057409876021622,0.180008333333333,0.052925,52,52,5,2.5,0.25,5,0.75,5,1000,6424,22
simulation-23.rdata,0.279571593485158,-0.017083596110641,0.226583333333333,-0.0735333333333333,52,52,6,4,0.25,5,0.75,5,1000,5774,23
simulation-24.rdata,0.245776868442532,0.0383738716595898,0.204908333333333,-0.0335583333333333,52,52,8,8,0.25,5,0.75,5,1000,6364,24
simulation-25.rdata,0.325570135865003,0.00195200330615266,0.3027,-0.0095,52,52,17,20,0.25,5,0.75,5,1000,6497,25
simulation-26.rdata,0.611820588989566,0.107894316706868,0.484875,-0.0515083333333334,52,52,1.6,0.4,0.75,5,0.75,5,1000,5866,26
simulation-27.rdata,0.713384311799998,0.166441558204252,0.637383333333333,0.14185,52,52,5,2.5,0.75,5,0.75,5,1000,5853,27
simulation-28.rdata,0.714802444367424,0.174938448634876,0.613241666666667,0.070975,52,52,6,4,0.75,5,0.75,5,1000,6037,28
simulation-29.rdata,0.767702973743135,0.170655762808521,0.682908333333333,0.112875,52,52,8,8,0.75,5,0.75,5,1000,4746,29
simulation-30.rdata,0.634044506812103,0.084428848249941,0.594283333333333,0.103066666666667,52,52,17,20,0.75,5,0.75,5,1000,4560,30
simulation-31.rdata,0.0936637591341634,-0.00907774715635152,0.0799833333333333,-0.00845,52,52,1.6,0.4,0.25,15,0.75,5,1000,5558,31
simulation-32.rdata,0.0843362494189359,0.0170838893789542,0.0778333333333333,0.0221,52,52,5,2.5,0.25,15,0.75,5,1000,5381,32
simulation-33.rdata,0.137002460908197,-0.0114484034606483,0.11195,-0.02995,52,52,6,4,0.25,15,0.75,5,1000,3947,33
simulation-34.rdata,0.101499201191343,-0.00252919437534247,0.0886416666666667,-0.006175,52,52,8,8,0.25,15,0.75,5,1000,4468,34
simulation-35.rdata,0.132299988666941,-0.00529330336656933,0.120133333333333,-0.0153,52,52,17,20,0.25,15,0.75,5,1000,4595,35
simulation-36.rdata,0.271167503942152,0.0285099484480345,0.204558333333333,-0.015075,52,52,1.6,0.4,0.75,15,0.75,5,1000,3976,36
simulation-37.rdata,0.325953423510631,0.0222601630372898,0.283458333333333,0.0362083333333333,52,52,5,2.5,0.75,15,0.75,5,1000,4060,37
simulation-38.rdata,0.365135743846608,0.0811110775269381,0.3357,0.07345,52,52,6,4,0.75,15,0.75,5,1000,4145,38
simulation-39.rdata,0.323714076933307,0.00412179079514761,0.297041666666667,-0.00445833333333334,52,52,8,8,0.75,15,0.75,5,1000,3918,39
simulation-40.rdata,0.322535527100891,-0.0531643605934062,0.291808333333333,-0.053525,52,52,17,20,0.75,15,0.75,5,1000,4126,40
simulation-41.rdata,0.848516760342879,-0.0906622234501179,0.728875,-0.028475,52,52,1.6,0.4,0.25,5,0.25,15,1000,3623,41
simulation-42.rdata,0.817903816559448,0.153297923999802,0.785283333333333,0.0667333333333333,52,52,5,2.5,0.25,5,0.25,15,1000,3661,42
simulation-43.rdata,0.994064604867558,0.114624716853578,0.941958333333333,0.0311583333333333,52,52,6,4,0.25,5,0.25,15,1000,3548,43
simulation-44.rdata,1.09040856032221,-0.0173657182949095,1.09135833333333,0.0103083333333333,52,52,8,8,0.25,5,0.25,15,1000,3811,44
simulation-45.rdata,1.01800609718898,-0.00979668561068455,1.01746666666667,-0.01825,52,52,17,20,0.25,5,0.25,15,1000,2475,45
simulation-46.rdata,1.74986291757978,0.142935704901266,1.72120833333333,-0.031775,52,52,1.6,0.4,0.75,5,0.25,15,1000,2286,46
simulation-47.rdata,1.84612118884236,0.248664985847472,1.80513333333333,0.0904666666666667,52,52,5,2.5,0.75,5,0.25,15,1000,2344,47
simulation-48.rdata,2.15542226604189,0.100038143141448,2.08049166666667,-0.0655416666666667,52,52,6,4,0.75,5,0.25,15,1000,2385,48
simulation-49.rdata,2.53863739673899,0.265381096634221,2.52689166666667,0.0918083333333333,52,52,8,8,0.75,5,0.25,15,1000,2389,49
simulation-50.rdata,2.45799767708745,-0.0555736783307848,2.45681666666667,-0.13095,52,52,17,20,0.75,5,0.25,15,1000,2567,50
simulation-51.rdata,0.434742199345011,0.0398928080273684,0.379666666666667,0.000899999999999999,52,52,1.6,0.4,0.25,15,0.25,15,1000,2615,51
simulation-52.rdata,0.443898280701403,0.101273508163977,0.414583333333333,0.05465,52,52,5,2.5,0.25,15,0.25,15,1000,2729,52
simulation-53.rdata,0.514928201699966,0.083523172861282,0.473016666666667,0.03395,52,52,6,4,0.25,15,0.25,15,1000,5063,53
simulation-54.rdata,0.528666575936654,-0.0784240686987463,0.526358333333333,-0.054775,52,52,8,8,0.25,15,0.25,15,1000,4852,54
simulation-55.rdata,0.537406117658106,-0.0175100390709782,0.546433333333333,0.0261,52,52,17,20,0.25,15,0.25,15,1000,4949,55
simulation-56.rdata,0.941084033420418,0.112800990224659,0.881791666666667,-0.0476583333333333,52,52,1.6,0.4,0.75,15,0.25,15,1000,4601,56
simulation-57.rdata,1.01043828479913,-0.0200626351893844,0.96165,-0.0981166666666667,52,52,5,2.5,0.75,15,0.25,15,1000,4614,57
simulation-58.rdata,1.16661171616889,0.0620839303360627,1.08759166666667,-0.105141666666667,52,52,6,4,0.75,15,0.25,15,1000,4810,58
simulation-59.rdata,1.21144432564465,0.0288958288326453,1.20009166666667,0.00734166666666667,52,52,8,8,0.75,15,0.25,15,1000,4476,59
simulation-60.rdata,1.2649535241382,-0.0987367259380363,1.26423333333333,-0.01655,52,52,17,20,0.75,15,0.25,15,1000,4526,60
simulation-61.rdata,0.512776140143861,0.125747739038287,0.437033333333333,0.0616333333333333,52,52,1.6,0.4,0.25,5,0.75,15,1000,6013,61
simulation-62.rdata,0.457992302323682,0.0704340579965998,0.405316666666667,0.0543,52,52,5,2.5,0.25,5,0.75,15,1000,6061,62
simulation-63.rdata,0.524444935047239,0.0183112936586494,0.434308333333333,-0.054425,52,52,6,4,0.25,5,0.75,15,1000,6000,63
simulation-64.rdata,0.551182975334095,0.0914490299702612,0.515633333333333,0.0510166666666667,52,52,8,8,0.25,5,0.75,15,1000,6004,64
simulation-65.rdata,0.492526786410159,0.0456557929521353,0.455941666666667,-0.0206583333333333,52,52,17,20,0.25,5,0.75,15,1000,6127,65
simulation-66.rdata,1.35943101427394,0.271878773026246,1.187375,0.0717583333333333,52,52,1.6,0.4,0.75,5,0.75,15,1000,5553,66
simulation-67.rdata,1.35808155936598,0.288376045102892,1.25924166666667,0.146191666666667,52,52,5,2.5,0.75,5,0.75,15,1000,5595,67
simulation-68.rdata,1.2252371588959,0.148474298724746,1.07133333333333,0.00928333333333333,52,52,6,4,0.75,5,0.75,15,1000,5598,68
simulation-69.rdata,1.34491130070534,0.205844508036646,1.25670833333333,0.128675,52,52,8,8,0.75,5,0.75,15,1000,4388,69
simulation-70.rdata,1.39204026808636,0.441852846558795,1.351775,0.432158333333333,52,52,17,20,0.75,5,0.75,15,1000,4802,70
simulation-71.rdata,0.208233271132275,0.0234282224536057,0.198525,0.0239083333333333,52,52,1.6,0.4,0.25,15,0.75,15,1000,5207,71
simulation-72.rdata,0.228703251658753,-0.0134924564295723,0.2055,-0.0047,52,52,5,2.5,0.25,15,0.75,15,1000,4962,72
simulation-73.rdata,0.287087362850177,-0.0214126664209218,0.267341666666667,-0.00239166666666667,52,52,6,4,0.25,15,0.75,15,1000,4999,73
simulation-74.rdata,0.269242748126419,-0.0153745021794512,0.261516666666667,-0.0167166666666667,52,52,8,8,0.25,15,0.75,15,1000,5447,74
simulation-75.rdata,0.239197254537417,0.00948588354755402,0.220333333333333,-0.01275,52,52,17,20,0.25,15,0.75,15,1000,5142,75
simulation-76.rdata,0.591889908930154,0.102780788717353,0.49055,0.0599,52,52,1.6,0.4,0.75,15,0.75,15,1000,4557,76
simulation-77.rdata,0.691772389511992,0.208615041953863,0.636425,0.152291666666667,52,52,5,2.5,0.75,15,0.75,15,1000,4576,77
simulation-78.rdata,0.732740954725498,-0.0451939036395545,0.65165,-0.115283333333333,52,52,6,4,0.75,15,0.75,15,1000,4681,78
simulation-79.rdata,0.636733270967804,-0.0418477817250038,0.606108333333333,0.018675,52,52,8,8,0.75,15,0.75,15,1000,4247,79
simulation-80.rdata,0.619772086957641,0.0156537379146483,0.596741666666667,0.026975,52,52,17,20,0.75,15,0.75,15,1000,5209,80
simulation-81.rdata,0.722827811831883,0.0940751358001836,0.640025,-0.00901666666666666,52,52,1.6,0.4,0.25,5,0.25,5,4000,15131,81
simulation-82.rdata,0.760381569439487,0.0227959829033362,0.727875,-0.0506291666666667,52,52,5,2.5,0.25,5,0.25,5,4000,14692,82
simulation-83.rdata,0.850602338095,0.0657705912219417,0.815541666666667,-0.0237416666666667,52,52,6,4,0.25,5,0.25,5,4000,14899,83
simulation-84.rdata,0.935110016903841,0.0205524210615734,0.91145625,-0.0279354166666667,52,52,8,8,0.25,5,0.25,5,4000,16377,84
simulation-85.rdata,0.91644487440657,0.0304983418262905,0.913027083333333,-0.01863125,52,52,17,20,0.25,5,0.25,5,4000,17633,85
simulation-86.rdata,1.53823048667577,0.0563410948910691,1.4646375,-0.0935416666666666,52,52,1.6,0.4,0.75,5,0.25,5,4000,16116,86
simulation-87.rdata,1.72796463965459,0.114821402396001,1.70704166666667,0.0455916666666667,52,52,5,2.5,0.75,5,0.25,5,4000,16321,87
simulation-88.rdata,1.83155888717336,0.0275313512655882,1.73554791666667,-0.106914583333333,52,52,6,4,0.75,5,0.25,5,4000,16498,88
simulation-89.rdata,2.00617872085454,0.102967457597733,1.96658541666667,0.0470145833333333,52,52,8,8,0.75,5,0.25,5,4000,18899,89
simulation-90.rdata,2.06482270040807,-0.10365698086378,2.04631875,-0.0983395833333333,52,52,17,20,0.75,5,0.25,5,4000,18880,90
simulation-91.rdata,0.386125900182778,-0.0152243117849041,0.35066875,-0.0241020833333333,52,52,1.6,0.4,0.25,15,0.25,5,4000,20007,91
simulation-92.rdata,0.398625099326275,-0.00489464921175632,0.37749375,-0.02719375,52,52,5,2.5,0.25,15,0.25,5,4000,20169,92
simulation-93.rdata,0.443474241630506,0.0348437303917762,0.422091666666667,0.000316666666666669,52,52,6,4,0.25,15,0.25,5,4000,19880,93
simulation-94.rdata,0.442374140090703,-0.00630933646227037,0.438614583333333,0.00687291666666667,52,52,8,8,0.25,15,0.25,5,4000,20659,94
simulation-95.rdata,0.473020800938891,-0.0275125484468435,0.466777083333333,-0.0314979166666667,52,52,17,20,0.25,15,0.25,5,4000,21019,95
simulation-96.rdata,0.928011045200866,0.00887342785568796,0.807647916666667,-0.0536104166666667,52,52,1.6,0.4,0.75,15,0.25,5,4000,17685,96
simulation-97.rdata,0.96662648367529,0.0802568363301269,0.879927083333333,-0.0588145833333333,52,52,5,2.5,0.75,15,0.25,5,4000,17777,97
simulation-98.rdata,0.963242641862949,0.0399522196204244,0.910785416666667,-0.02329375,52,52,6,4,0.75,15,0.25,5,4000,17779,98
simulation-99.rdata,1.08436652546052,-0.11098131924982,1.05944166666667,-0.082325,52,52,8,8,0.75,15,0.25,5,4000,17673,99
simulation-100.rdata,1.00429638206981,-0.0969646919726963,1.00377708333333,-0.03663125,52,52,17,20,0.75,15,0.25,5,4000,17704,100
simulation-101.rdata,0.293984147432355,0.0541823983997715,0.238627083333333,-0.02354375,52,52,1.6,0.4,0.25,5,0.75,5,4000,25441,101
simulation-102.rdata,0.253780958848533,-0.0151606405995017,0.222804166666667,-0.0696,52,52,5,2.5,0.25,5,0.75,5,4000,25905,102
simulation-103.rdata,0.311278208449122,0.0691488744939529,0.2645875,-0.00759583333333333,52,52,6,4,0.25,5,0.75,5,4000,24597,103
simulation-104.rdata,0.32457512542879,0.0333816982160642,0.290795833333333,-0.0171583333333333,52,52,8,8,0.25,5,0.75,5,4000,25484,104
simulation-105.rdata,0.324314337079443,0.0159313334810131,0.29155625,-0.05789375,52,52,17,20,0.25,5,0.75,5,4000,25745,105
simulation-106.rdata,0.726963611853812,0.116989953944872,0.5626625,-0.0508541666666667,52,52,1.6,0.4,0.75,5,0.75,5,4000,23263,106
simulation-107.rdata,0.674548746981965,0.0526259223091579,0.612502083333333,0.0190479166666667,52,52,5,2.5,0.75,5,0.75,5,4000,23082,107
simulation-108.rdata,0.775766131661865,0.165710003296982,0.68009375,0.0550979166666667,52,52,6,4,0.75,5,0.75,5,4000,23455,108
simulation-109.rdata,0.804378353367209,0.124251879022387,0.750516666666667,0.0603333333333333,52,52,8,8,0.75,5,0.75,5,4000,22660,109
simulation-110.rdata,0.710059264848958,0.0564380002624698,0.646491666666667,0.001825,52,52,17,20,0.75,5,0.75,5,4000,22714,110
simulation-111.rdata,0.127074914037392,0.0139365157745001,0.1082,-0.000795833333333334,52,52,1.6,0.4,0.25,15,0.75,5,4000,24440,111
simulation-112.rdata,0.125692806814364,0.0183672820249328,0.0975583333333333,-0.0223,52,52,5,2.5,0.25,15,0.75,5,4000,24948,112
simulation-113.rdata,0.143247626039111,0.00414389749021973,0.119025,-0.0269541666666667,52,52,6,4,0.25,15,0.75,5,4000,25011,113
simulation-114.rdata,0.131062335553138,0.0184206330248698,0.112629166666667,-0.003325,52,52,8,8,0.25,15,0.75,5,4000,24571,114
simulation-115.rdata,0.155700662644965,-0.00296635063726338,0.142595833333333,-0.0212416666666667,52,52,17,20,0.25,15,0.75,5,4000,25347,115
simulation-116.rdata,0.341193806018479,0.0353537023190567,0.261491666666667,-0.0438708333333333,52,52,1.6,0.4,0.75,15,0.75,5,4000,21814,116
simulation-117.rdata,0.359934742819278,0.0812612072164812,0.289860416666667,0.0129854166666667,52,52,5,2.5,0.75,15,0.75,5,4000,273,117
simulation-118.rdata,0.357382504278476,0.0555529728903022,0.30991875,0.0180020833333333,52,52,6,4,0.75,15,0.75,5,4000,22328,118
simulation-119.rdata,0.381666878072839,0.00823353537398531,0.346797916666667,-0.0204145833333333,52,52,8,8,0.75,15,0.75,5,4000,21628,119
simulation-120.rdata,0.339593922164911,0.00817825617056438,0.322970833333333,0.0077875,52,52,17,20,0.75,15,0.75,5,4000,21570,120
simulation-121.rdata,0.82013623564992,0.0570094184534006,0.755920833333333,-0.01945,52,52,1.6,0.4,0.25,5,0.25,15,4000,19036,121
simulation-122.rdata,0.922581509864687,0.0524237553815414,0.904758333333333,-0.0410875,52,52,5,2.5,0.25,5,0.25,15,4000,19237,122
simulation-123.rdata,1.04996355235489,0.051739600753162,1.00957916666667,-0.0584791666666667,52,52,6,4,0.25,5,0.25,15,4000,19167,123
simulation-124.rdata,1.12137918792593,0.0570294304724038,1.0954875,-0.0656625,52,52,8,8,0.25,5,0.25,15,4000,18800,124
simulation-125.rdata,1.14099649652261,0.0346290026743923,1.13687916666667,-0.0544875,52,52,17,20,0.25,5,0.25,15,4000,19912,125
simulation-126.rdata,1.8284895008438,0.0357310158839412,1.75415416666667,-0.116129166666667,52,52,1.6,0.4,0.75,5,0.25,15,4000,17887,126
simulation-127.rdata,2.02208530317996,0.0490143082860896,1.99225208333333,-0.0484729166666667,52,52,5,2.5,0.75,5,0.25,15,4000,18030,127
simulation-128.rdata,2.23832490008027,0.154019419766954,2.16159166666667,-0.120404166666667,52,52,6,4,0.75,5,0.25,15,4000,18057,128
simulation-129.rdata,2.42032614394312,0.115677157446056,2.41265208333333,-0.0307479166666667,52,52,8,8,0.75,5,0.25,15,4000,18263,129
simulation-130.rdata,2.53590851890956,0.091922968872442,2.53188333333333,-0.0155666666666667,52,52,17,20,0.75,5,0.25,15,4000,18234,130
simulation-131.rdata,0.475121849115202,-0.0577756729535977,0.42408125,-0.05418125,52,52,1.6,0.4,0.25,15,0.25,15,4000,19452,131
simulation-132.rdata,0.485236825504673,0.00135898037792582,0.463608333333333,-0.0251833333333333,52,52,5,2.5,0.25,15,0.25,15,4000,19402,132
simulation-133.rdata,0.5103480583878,0.0510535038405169,0.488433333333333,0.00672916666666667,52,52,6,4,0.25,15,0.25,15,4000,19434,133
simulation-134.rdata,0.577814253875346,0.0455605082944795,0.56716875,0.01161875,52,52,8,8,0.25,15,0.25,15,4000,18959,134
simulation-135.rdata,0.571407189905818,-0.0447435898189984,0.566939583333333,-0.0508729166666667,52,52,17,20,0.25,15,0.25,15,4000,19680,135
simulation-136.rdata,1.08332108403389,0.0112136467139827,0.949910416666667,-0.0937979166666667,52,52,1.6,0.4,0.75,15,0.25,15,4000,17022,136
simulation-137.rdata,1.10824100529063,0.0362214831567272,1.07329166666667,-0.0217791666666667,52,52,5,2.5,0.75,15,0.25,15,4000,17009,137
simulation-138.rdata,1.2414102853832,-0.0308792349273034,1.1838875,-0.120745833333333,52,52,6,4,0.75,15,0.25,15,4000,17471,138
simulation-139.rdata,1.27877788359376,-0.0562505106365822,1.265625,-0.0937208333333333,52,52,8,8,0.75,15,0.25,15,4000,16559,139
simulation-140.rdata,1.25821215567288,-0.0424405177632599,1.25958958333333,-0.0119270833333333,52,52,17,20,0.75,15,0.25,15,4000,17017,140
simulation-141.rdata,0.572556573558255,0.155098145240151,0.487258333333333,0.0442416666666667,52,52,1.6,0.4,0.25,5,0.75,15,4000,22594,141
simulation-142.rdata,0.539290844669798,0.0706154253566331,0.4998875,0.00835416666666666,52,52,5,2.5,0.25,5,0.75,15,4000,23304,142
simulation-143.rdata,0.623469335029952,0.165830487289002,0.548883333333333,0.0317458333333333,52,52,6,4,0.25,5,0.75,15,4000,22893,143
simulation-144.rdata,0.569053370531751,0.0659278945140752,0.523985416666667,-0.0229270833333333,52,52,8,8,0.25,5,0.75,15,4000,23553,144
simulation-145.rdata,0.657249644137313,0.00689687202773785,0.6176875,-0.10045,52,52,17,20,0.25,5,0.75,15,4000,22822,145
simulation-146.rdata,1.34854662541254,0.20515862207443,1.095675,-0.1319125,52,52,1.6,0.4,0.75,5,0.75,15,4000,21494,146
simulation-147.rdata,1.24794294421677,0.0526701932550912,1.17294791666667,-0.03469375,52,52,5,2.5,0.75,5,0.75,15,4000,21600,147
simulation-148.rdata,1.39424998100244,0.197718420441725,1.23632291666667,-0.0590229166666667,52,52,6,4,0.75,5,0.75,15,4000,21618,148
simulation-149.rdata,1.50217814621262,0.0936033703752792,1.42098541666667,-0.04030625,52,52,8,8,0.75,5,0.75,15,4000,21201,149
simulation-150.rdata,1.48124209404893,0.0380257828599804,1.40114375,-0.13731875,52,52,17,20,0.75,5,0.75,15,4000,21864,150
simulation-151.rdata,0.264826203776056,0.0327000851791157,0.22444375,0.00327708333333333,52,52,1.6,0.4,0.25,15,0.75,15,4000,22482,151
simulation-152.rdata,0.279627753082596,0.0739005718129046,0.2297875,-0.000683333333333333,52,52,5,2.5,0.25,15,0.75,15,4000,22633,152
simulation-153.rdata,0.288091252059575,0.0697520283721295,0.258833333333333,0.038875,52,52,6,4,0.25,15,0.75,15,4000,22597,153
simulation-154.rdata,0.290151161785533,-0.0218901283119844,0.270441666666667,-0.0418666666666667,52,52,8,8,0.25,15,0.75,15,4000,22869,154
simulation-155.rdata,0.293970801184217,-0.000797739754434061,0.283897916666667,0.00468958333333334,52,52,17,20,0.25,15,0.75,15,4000,22567,155
simulation-156.rdata,0.68820400962523,0.147999569250826,0.541045833333333,-0.0749833333333333,52,52,1.6,0.4,0.75,15,0.75,15,4000,20170,156
simulation-157.rdata,0.684132228508848,0.139138187338837,0.56,-0.0154166666666667,52,52,5,2.5,0.75,15,0.75,15,4000,20181,157
simulation-158.rdata,0.683557650391259,0.0723152273298897,0.593420833333333,-0.0249625,52,52,6,4,0.75,15,0.75,15,4000,20888,158
simulation-159.rdata,0.734885959056012,-0.0298582084806715,0.6838625,-0.0387333333333333,52,52,8,8,0.75,15,0.75,15,4000,20329,159
simulation-160.rdata,0.669091909685352,-0.000606950977885123,0.623952083333333,-0.05340625,52,52,17,20,0.75,15,0.75,15,4000,20520,160
